"time [s]"	"region"	"quantity [kg]"	"flux"	"flux_in"	"flux_out"	"mass"	"source"	"source_in"	"source_out"	"flux_increment"	"source_increment"	"flux_cumulative"	"source_cumulative"	"error"
0	"fracture"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
0	"bulk"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
0	"repository"	"X"	0	0	0	0	7.2e-05	7.2e-05	0	0	0	0	0	0
0	".bottom"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
0	".left"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
0	".right"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
0	".topright"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
0	".topleft"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
0	".IMPLICIT_BOUNDARY"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
0	"ALL"	"X"	0	0	0	0	7.2e-05	7.2e-05	0	0	0	0	0	0
10	"fracture"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
10	"bulk"	"X"	0	0	0	3.58881e-14	0	0	0	0	0	0	0	0
10	"repository"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0	0
10	".bottom"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
10	".left"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
10	".right"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
10	".topright"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
10	".topleft"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
10	".IMPLICIT_BOUNDARY"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
10	"ALL"	"X"	0	0	0	0.00036	0	0	0	0	0.00036	0	0.00036	2.17806e-14
20	"fracture"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
20	"bulk"	"X"	0	0	0	1.07664e-13	0	0	0	0	0	0	0	0
20	"repository"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0	0
20	".bottom"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
20	".left"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
20	".right"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
20	".topright"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
20	".topleft"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
20	".IMPLICIT_BOUNDARY"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
20	"ALL"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0.00036	6.53419e-14
30	"fracture"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
30	"bulk"	"X"	0	0	0	1.79441e-13	0	0	0	0	0	0	0	0
30	"repository"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0	0
30	".bottom"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
30	".left"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
30	".right"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
30	".topright"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
30	".topleft"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
30	".IMPLICIT_BOUNDARY"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
30	"ALL"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0.00036	1.08903e-13
40	"fracture"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
40	"bulk"	"X"	0	0	0	2.51217e-13	0	0	0	0	0	0	0	0
40	"repository"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0	0
40	".bottom"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
40	".left"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
40	".right"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
40	".topright"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
40	".topleft"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
40	".IMPLICIT_BOUNDARY"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
40	"ALL"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0.00036	1.52465e-13
50	"fracture"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
50	"bulk"	"X"	0	0	0	3.22993e-13	0	0	0	0	0	0	0	0
50	"repository"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0	0
50	".bottom"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
50	".left"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
50	".right"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
50	".topright"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
50	".topleft"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
50	".IMPLICIT_BOUNDARY"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
50	"ALL"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0.00036	1.96026e-13
60	"fracture"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
60	"bulk"	"X"	0	0	0	3.94769e-13	0	0	0	0	0	0	0	0
60	"repository"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0	0
60	".bottom"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
60	".left"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
60	".right"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
60	".topright"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
60	".topleft"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
60	".IMPLICIT_BOUNDARY"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
60	"ALL"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0.00036	2.39587e-13
70	"fracture"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
70	"bulk"	"X"	0	0	0	4.66545e-13	0	0	0	0	0	0	0	0
70	"repository"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0	0
70	".bottom"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
70	".left"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
70	".right"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
70	".topright"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
70	".topleft"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
70	".IMPLICIT_BOUNDARY"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
70	"ALL"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0.00036	2.83149e-13
80	"fracture"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
80	"bulk"	"X"	0	0	0	5.38322e-13	0	0	0	0	0	0	0	0
80	"repository"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0	0
