"time [s]"	"region"	"quantity [m(3)]"	"flux"	"flux_in"	"flux_out"	"mass"	"source"	"source_in"	"source_out"	"flux_increment"	"source_increment"	"flux_cumulative"	"source_cumulative"	"error"
0	"fracture"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
0	"bulk"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
0	"repository"	"water_volume"	0	0	0	0	0	0	0	0	0	0	0	0
0	".bottom"	"water_volume"	8.61507e-16	8.61507e-16	0	0	0	0	0	0	0	0	0	0
0	".left"	"water_volume"	4.60574e-19	7.57883e-19	-2.97309e-19	0	0	0	0	0	0	0	0	0
0	".right"	"water_volume"	9.05002e-20	5.90805e-19	-5.00305e-19	0	0	0	0	0	0	0	0	0
0	".topright"	"water_volume"	1.63778e-16	5.74609e-16	-4.10831e-16	0	0	0	0	0	0	0	0	0
0	".topleft"	"water_volume"	-4.30373e-16	0	-4.30373e-16	0	0	0	0	0	0	0	0	0
0	".IMPLICIT_BOUNDARY"	"water_volume"	0	8.49798e-16	-8.49798e-16	0	0	0	0	0	0	0	0	0
0	"ALL"	"water_volume"	5.95462e-16	2.28726e-15	-1.6918e-15	0	0	0	0	0	0	0	0	0
